Time(ms),Position(rad),Torque(Nm),Velocity(rad/s),Acceleration(rad/s^2)
1.7,6.924521,0.959000,-0.000647,-0.064715
12.2,6.924569,0.790000,0.005405,0.605203
21.8,6.924617,0.867000,0.007286,0.188152
31.9,6.924689,0.918000,0.009527,0.224105
42.2,6.924797,0.898000,0.012104,0.257661
52.1,6.924929,0.891000,0.015112,0.300804
62.3,6.925084,0.955000,0.017617,0.250470
72.3,6.925276,0.984000,0.021715,0.409860
82.5,6.925504,1.022000,0.024544,0.282828
92.4,6.925755,1.013000,0.025910,0.136620
102.5,6.926019,1.007000,0.032945,0.703474
112.8,6.926463,0.983000,0.052647,1.970207
123.0,6.927050,1.011000,0.067459,1.481250
133.2,6.927769,1.059000,0.080150,1.269129
143.4,6.928632,1.005000,0.089139,0.898817
153.5,6.929578,1.007000,0.101650,1.251153
163.8,6.930657,1.073000,0.113455,1.180446
174.0,6.931796,1.192000,0.117158,0.370313
184.0,6.933018,1.043000,0.125762,0.860467
194.2,6.934312,1.080000,0.129454,0.369114
204.4,6.935678,0.968000,0.137052,0.759800
214.0,6.937093,0.948000,0.146651,0.959936
224.0,6.938615,0.945000,0.157545,1.089366
234.3,6.940232,0.866000,0.162302,0.475774
244.5,6.941874,0.960000,0.168438,0.613592
254.7,6.943612,1.019000,0.172645,0.420646
264.7,6.945410,0.985000,0.179991,0.734633
275.1,6.947183,1.193000,0.179248,-0.074302
284.8,6.949029,1.280000,0.183143,0.389487
295.4,6.950838,1.396000,0.182004,-0.113850
305.6,6.952684,1.523000,0.185276,0.327169
315.5,6.954602,1.492000,0.188500,0.322376
325.5,6.956555,1.568000,0.193929,0.542885
335.8,6.958544,1.602000,0.197428,0.349939
346.0,6.960582,1.599000,0.204523,0.709466
356.1,6.962667,1.504000,0.201754,-0.276836
366.5,6.964728,1.628000,0.203552,0.179763
376.4,6.966801,1.490000,0.206320,0.276836
387.1,6.968935,1.596000,0.214889,0.856872
397.3,6.971140,1.467000,0.216771,0.188152
407.5,6.973369,1.475000,0.221037,0.426638
417.5,6.975658,1.478000,0.228072,0.703474
427.4,6.977923,1.731000,0.226754,-0.131826
438.0,6.980212,1.781000,0.227041,0.028762
447.8,6.982501,1.879000,0.224369,-0.267248
458.0,6.984802,1.896000,0.227724,0.335558
467.9,6.987067,1.881000,0.224333,-0.339154
478.0,6.989368,1.683000,0.224069,-0.026365
